%Cavity1 Size=	0,000000E+0	mm
%f	alpha	Re(R)	Im(R)	Re(Zs/Zo)	Im(Zs/Zo)
1,156250E+2	5,172884E-2	9,452105E-1	-2,341971E-1	8,941865E-1	-8,096678E+0
1,171875E+2	5,369738E-2	9,423855E-1	-2,412722E-1	8,726781E-1	-7,842207E+0
1,187500E+2	5,815034E-2	9,394639E-1	-2,434280E-1	9,241680E-1	-7,737476E+0
1,203125E+2	5,439975E-2	9,421927E-1	-2,405685E-1	8,886688E-1	-7,859804E+0
1,218750E+2	5,885985E-2	9,360086E-1	-2,550060E-1	8,515237E-1	-7,378329E+0
1,234375E+2	6,525389E-2	9,309690E-1	-2,608501E-1	8,962456E-1	-7,165420E+0
1,250000E+2	5,689158E-2	9,354161E-1	-2,609698E-1	7,871401E-1	-7,221447E+0
1,265625E+2	5,963069E-2	9,340452E-1	-2,606317E-1	8,250079E-1	-7,211831E+0
1,281250E+2	5,673693E-2	9,341777E-1	-2,656598E-1	7,574244E-1	-7,092989E+0
1,296875E+2	6,139560E-2	9,312937E-1	-2,670139E-1	8,076562E-1	-7,025111E+0
1,312500E+2	6,731908E-2	9,274781E-1	-2,691940E-1	8,661207E-1	-6,926847E+0
1,328125E+2	7,015740E-2	9,248406E-1	-2,729696E-1	8,752024E-1	-6,810505E+0
1,343750E+2	6,156588E-2	9,272657E-1	-2,803791E-1	7,337767E-1	-6,683432E+0
1,359375E+2	6,144881E-2	9,244958E-1	-2,895836E-1	6,861224E-1	-6,466840E+0
1,375000E+2	5,477277E-2	9,282142E-1	-2,892155E-1	6,168188E-1	-6,513950E+0
1,390625E+2	5,900497E-2	9,270799E-1	-2,855134E-1	6,795051E-1	-6,575981E+0
1,406250E+2	6,041868E-2	9,231089E-1	-2,957215E-1	6,471341E-1	-6,334845E+0
1,421875E+2	6,226378E-2	9,214450E-1	-2,977840E-1	6,564711E-1	-6,279303E+0
1,437500E+2	6,684860E-2	9,174590E-1	-3,023580E-1	6,805083E-1	-6,155913E+0
1,453125E+2	6,982203E-2	9,138949E-1	-3,081787E-1	6,819345E-1	-6,019810E+0
1,468750E+2	5,657480E-2	9,180562E-1	-3,171720E-1	5,271950E-1	-5,911165E+0
1,484375E+2	6,694518E-2	9,113906E-1	-3,200345E-1	6,070820E-1	-5,804366E+0
1,500000E+2	6,819938E-2	9,103206E-1	-3,211183E-1	6,135281E-1	-5,777621E+0
1,515625E+2	6,590042E-2	9,111362E-1	-3,223824E-1	5,893058E-1	-5,765724E+0
1,531250E+2	6,494125E-2	9,107946E-1	-3,248260E-1	5,723232E-1	-5,725343E+0
1,546875E+2	7,947719E-2	9,017256E-1	-3,277405E-1	6,788763E-1	-5,598971E+0
1,562500E+2	7,685409E-2	9,015963E-1	-3,320694E-1	6,406995E-1	-5,536640E+0
1,578125E+2	7,490393E-2	9,007235E-1	-3,373325E-1	6,057785E-1	-5,456290E+0
1,593750E+2	7,568451E-2	8,977179E-1	-3,441193E-1	5,872492E-1	-5,340162E+0
1,609375E+2	8,424611E-2	8,908083E-1	-3,495918E-1	6,280589E-1	-5,212449E+0
1,625000E+2	8,702413E-2	8,910567E-1	-3,449548E-1	6,650045E-1	-5,272021E+0
1,640625E+2	9,046606E-2	8,885489E-1	-3,464316E-1	6,830914E-1	-5,231674E+0
1,656250E+2	9,349249E-2	8,846996E-1	-3,518722E-1	6,818882E-1	-5,132766E+0
1,671875E+2	9,979038E-2	8,811571E-1	-3,518122E-1	7,236668E-1	-5,102592E+0
1,687500E+2	9,887301E-2	8,808111E-1	-3,539757E-1	7,087428E-1	-5,074747E+0
1,703125E+2	9,306823E-2	8,819010E-1	-3,594195E-1	6,502369E-1	-5,022290E+0
1,718750E+2	9,514213E-2	8,787903E-1	-3,641230E-1	6,460065E-1	-4,944725E+0
1,734375E+2	1,023926E-1	8,755031E-1	-3,620797E-1	6,984429E-1	-4,939656E+0
1,750000E+2	1,159538E-1	8,681034E-1	-3,611686E-1	7,843222E-1	-4,885956E+0
1,765625E+2	1,076330E-1	8,694298E-1	-3,694034E-1	7,011581E-1	-4,812840E+0
1,781250E+2	1,001619E-1	8,704351E-1	-3,770688E-1	6,300763E-1	-4,743960E+0
1,796875E+2	1,059749E-1	8,672434E-1	-3,767146E-1	6,642606E-1	-4,722563E+0
1,812500E+2	1,044187E-1	8,659328E-1	-3,817614E-1	6,378047E-1	-4,663710E+0
1,828125E+2	1,048803E-1	8,647049E-1	-3,839338E-1	6,329148E-1	-4,633806E+0
1,843750E+2	1,023591E-1	8,660261E-1	-3,842391E-1	6,181529E-1	-4,640886E+0
1,859375E+2	1,072822E-1	8,616392E-1	-3,876799E-1	6,331595E-1	-4,576029E+0
1,875000E+2	1,132438E-1	8,568839E-1	-3,905203E-1	6,546324E-1	-4,514990E+0
1,890625E+2	1,131763E-1	8,544393E-1	-3,959256E-1	6,360185E-1	-4,449977E+0
1,906250E+2	1,153704E-1	8,533170E-1	-3,955750E-1	6,481648E-1	-4,444775E+0
1,921875E+2	1,151241E-1	8,513652E-1	-4,000666E-1	6,320442E-1	-4,392823E+0
1,937500E+2	1,192456E-1	8,486163E-1	-4,007553E-1	6,497621E-1	-4,367385E+0
1,953125E+2	1,194605E-1	8,473024E-1	-4,032593E-1	6,424867E-1	-4,337646E+0
1,968750E+2	1,168661E-1	8,462409E-1	-4,086689E-1	6,129807E-1	-4,287064E+0
1,984375E+2	1,204573E-1	8,435901E-1	-4,097541E-1	6,261997E-1	-4,260229E+0
2,000000E+2	1,264554E-1	8,378671E-1	-4,141536E-1	6,392762E-1	-4,187382E+0
2,015625E+2	1,260219E-1	8,383156E-1	-4,137693E-1	6,385809E-1	-4,193320E+0
2,031250E+2	1,309070E-1	8,338895E-1	-4,167988E-1	6,502631E-1	-4,140784E+0
2,046875E+2	1,337634E-1	8,309702E-1	-4,191958E-1	6,547526E-1	-4,103804E+0
2,062500E+2	1,274087E-1	8,309321E-1	-4,267823E-1	6,046147E-1	-4,050569E+0
2,078125E+2	1,231563E-1	8,328308E-1	-4,280613E-1	5,831761E-1	-4,053956E+0
2,093750E+2	1,305618E-1	8,260312E-1	-4,325628E-1	6,006276E-1	-3,979863E+0
2,109375E+2	1,329223E-1	8,245120E-1	-4,327329E-1	6,095848E-1	-3,969047E+0
2,125000E+2	1,317816E-1	8,243078E-1	-4,344365E-1	6,000906E-1	-3,956566E+0
2,140625E+2	1,331003E-1	8,218712E-1	-4,375243E-1	5,964413E-1	-3,921217E+0
2,156250E+2	1,392984E-1	8,174165E-1	-4,387846E-1	6,167231E-1	-3,885308E+0
2,171875E+2	1,409506E-1	8,155460E-1	-4,403796E-1	6,183196E-1	-3,863700E+0
2,187500E+2	1,447528E-1	8,121172E-1	-4,423944E-1	6,266011E-1	-3,830043E+0
2,203125E+2	1,441803E-1	8,103234E-1	-4,463134E-1	6,130822E-1	-3,795620E+0
2,218750E+2	1,422234E-1	8,100777E-1	-4,489440E-1	5,985299E-1	-3,778653E+0
2,234375E+2	1,388359E-1	8,090553E-1	-4,545257E-1	5,712154E-1	-3,740129E+0
2,250000E+2	1,500685E-1	8,019695E-1	-4,547267E-1	6,100535E-1	-3,697079E+0
2,265625E+2	1,531153E-1	7,995976E-1	-4,555529E-1	6,181743E-1	-3,678418E+0
2,281250E+2	1,548903E-1	7,985154E-1	-4,555029E-1	6,243588E-1	-3,672241E+0
